rank,word,frequent
930,侧面,35
931,一次,35
932,所,35
933,东江,35
934,六,35
935,白天,35
936,黄纬路,35
937,原,35
938,南运河,35
939,所有,35
940,日点,35
941,有限公司,35
942,佳园,35
943,金田,35
944,破,35
945,铁,35
946,福安,35
947,临时,35
948,宜宾,35
949,长路,35
950,临营,35
951,苏堤,35
952,延长线,35
953,方便,35
954,东海,34
955,正义,34
956,唐口,34
957,响声,34
958,河里,34
959,新兴路,34
960,人行道,34
961,横管,34
962,江西,34
963,字,34
964,建议,34
965,昆明,34
966,建设路,34
967,以下,34
968,机非,34
969,越秀,34
970,进里,34
971,吨,34
972,郁江,34
973,重庆,34
974,流,34
975,出行,34
976,海天,34
977,新换,34
978,安装,34
979,楼内,33
980,十五,33
981,一些,33
982,入口处,33
983,澧,33
984,大理,33
985,装修,33
986,市场,33
987,整栋,33
988,易买得,33
989,不明,33
990,装饰城,33
991,不便,33
992,看不到,33
993,卫星,33
994,类似,33
995,路口,32
996,差不多,32
997,起,32
998,保山,32
999,斜对面,32
1000,从楼,32
1001,陷入,32
1002,关,32
1003,同安,32
1004,打,32
1005,岳阳道,32
1006,西沽,32
1007,哈密,32
1008,西站,32
1009,和平,31
1010,工程,31
1011,沙柳,31
1012,纪念馆,31
1013,中途,31
1014,才能,31
1015,多年,31
1016,水泥,31
1017,和睦,31
1018,距离,31
1019,全天,31
1020,正门,31
1021,河沿,31
1022,城厢,31
1023,止水,31
1024,形状,31
1025,塑料,31
1026,小王庄,30
1027,总是,30
1028,投诉,30
1029,大学,30
1030,临池,30
1031,快,30
1032,底,30
1033,东侧,30
1034,自从,30
1035,进步,30
1036,外环,30
1037,很长,30
1038,消火栓,30
1039,涟源,30
1040,混行,30
1041,分局,30
1042,是从,30
1043,金,30
1044,洗澡,30
1045,了解,30
1046,松鹤里,30
1047,桂林,30
1048,车,30
1049,卫津路,30
1050,看不清,30
1051,十三经,30
1052,双,30
1053,山西路,30
1054,以来,30
1055,柳江,30
1056,中纺,30
1057,胡同口,30
1058,昨天晚上,30
1059,出来,29
1060,一根,29
1061,金辉,29
1062,西北角,29
1063,桃花园,29
1064,文玥,29
1065,铸铁管,29
1066,水上,29
1067,天山,29
1068,富强,29
1069,井有,29
1070,完全,29
1071,岷江,29
1072,花坛,29
1073,约,29
1074,光华,29
1075,表井中,29
1076,坨,29
1077,航天,29
1078,东里门,29
1079,宜昌,29
1080,房子,29
1081,万德庄,29
1082,仍然,29
1083,锦江,29
1084,只能,29
1085,具体情况,28
1086,佳宁道,28
1087,井上,28
1088,户外,28
1089,澧水,28
1090,狮子林,28
1091,十二,28
1092,山东,28
1093,黄,28
1094,华宁,28
1095,楚雄,28
1096,市区,28
1097,汾水,28
1098,停车场,28
1099,室内,28
1100,明里,28
1101,整串,28
1102,西楼,28
1103,带来,28
1104,因此,28
1105,田园,28
1106,世纪,27
1107,近两天,27
1108,铁道,27
1109,华昌,27
1110,长期,27
1111,看,27
1112,无名,27
1113,气象,27
1114,围墙,27
1115,二,27
1116,大面积,27
1117,天桥,27
1118,一位,27
1119,门路,27
1120,后台,27
1121,基本,27
1122,林里,27
1123,太阳城,27
1124,多个,27
1125,建设,27
1126,管理,27
1127,无故,27
1128,门内,27
1129,有效,27
1130,九经路,27
1131,近几天,27
1132,前往,27
1133,水龙头,27
1134,留,27
1135,银行,27
1136,不慎,27
1137,担心,27
1138,单元,27
1139,收费,27
1140,高,27
1141,柳林,27
1142,草坪,27
1143,馨苑,27
1144,降低,27
1145,四楼,27
1146,放,27
1147,强烈要求,27
1148,不了,27
1149,海,27
1150,第二,26
1151,交警大队,26
1152,北侧,26
1153,楼室,26
1154,今日,26
1155,月纬路,26
1156,栋,26
1157,住,26
1158,万家,26
1159,大江,26
1160,仓库,26
1161,南丰,26
1162,事故,26
1163,接到,26
1164,商场,26
1165,梅林路,26
1166,枫林路,26
1167,尤其,26
1168,名,26
1169,此片,26
1170,顺,26
1171,解放北路,26
1172,小树林,26
1173,代,26
1174,崂山,25
1175,同时,25
1176,此门,25
1177,天塔,25
1178,主干,25
1179,快到,25
1180,边上,25
1181,林苑,25
1182,白楼,25
